2021-03-03 22:03:21.998 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:03:22.031 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 22:05:28.315 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:08:24.272 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:09:49.864 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:12:42.411 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:14:01.042 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:19:17.819 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:20:09.857 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:20:09.928 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 22:20:50.116 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:22:21.563 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:22:31.724 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:22:31.763 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 22:22:39.444 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:23:29.271 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:25:50.938 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:29:45.593 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:08:50.386 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:08:50.451 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:08:59.247 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
